loan_size,interest_rate,borrower_income,debt_to_income,num_of_accounts,derogatory_marks,total_debt,loan_status
10700.0,7.672000000000000,52800,0.4318181818181820,5,1,22800,0
8400.0,6.692,43600,0.3119266055045870,3,0,13600,0
9000.0,6.963000000000000,46100,0.3492407809110630,3,0,16100,0
10700.0,7.664,52700,0.4307400379506640,5,1,22700,0
10800.0,7.6980000000000000,53000,0.4339622641509430,5,1,23000,0
10100.0,7.438,50600,0.4071146245059290,4,1,20600,0
10300.0,7.49,51100,0.4129158512720160,4,1,21100,0
8800.0,6.857,45100,0.3348115299334810,3,0,15100,0
9300.0,7.096,47400,0.3670886075949370,3,0,17400,0
9700.0,7.248000000000000,48800,0.38524590163934400,4,0,18800,0
9300.0,7.085,47300,0.3657505285412260,3,0,17300,0
9200.0,7.015,46600,0.3562231759656650,3,0,16600,0
9200.0,7.043000000000000,46900,0.3603411513859280,3,0,16900,0
9400.0,7.101,47400,0.3670886075949370,3,0,17400,0
8400.0,6.703000000000000,43700,0.3135011441647600,3,0,13700,0
9400.0,7.136,47700,0.3710691823899370,3,0,17700,0
8900.0,6.897,45500,0.3406593406593410,3,0,15500,0
8300.0,6.648,43200,0.3055555555555560,2,0,13200,0
8000.0,6.539,42100,0.2874109263657960,2,0,12100,0
10200.0,7.46,50800,0.4094488188976380,4,1,20800,0
5200.0,5.3260000000000000,30700,0.02280130293159610,0,0,700,0
9300.0,7.068,47100,0.3630573248407640,3,0,17100,0
7300.0,6.225,39200,0.2346938775510200,2,0,9200,0
9000.0,6.943,45900,0.3464052287581700,3,0,15900,0
8700.0,6.813,44700,0.3288590604026850,3,0,14700,0
8800.0,6.85,45100,0.3348115299334810,3,0,15100,0
8400.0,6.7,43700,0.3135011441647600,3,0,13700,0
7900.0,6.482,41600,0.27884615384615400,2,0,11600,0
9700.0,7.267,49000,0.3877551020408160,4,0,19000,0
8400.0,6.7,43600,0.3119266055045870,3,0,13600,0
7100.0,6.159,38600,0.22279792746114000,1,0,8600,0
9600.0,7.216,48500,0.38144329896907200,4,0,18500,0
10000.0,7.389000000000000,50100,0.4011976047904190,4,1,20100,0
10400.0,7.553,51700,0.4197292069632500,4,1,21700,0
9400.0,7.118000000000000,47600,0.3697478991596640,3,0,17600,0
10100.0,7.437,50600,0.4071146245059290,4,1,20600,0
8300.0,6.638,43100,0.3039443155452440,2,0,13100,0
9800.0,7.296,49300,0.3914807302231240,4,0,19300,0
9100.0,7.011,46600,0.3562231759656650,3,0,16600,0
8100.0,6.561,42300,0.2907801418439720,2,0,12300,0
8800.0,6.852,45100,0.3348115299334810,3,0,15100,0
9100.0,6.981,46300,0.35205183585313200,3,0,16300,0
10200.0,7.454,50700,0.40828402366863900,4,1,20700,0
7200.0,6.173000000000000,38700,0.2248062015503880,1,0,8700,0
8900.0,6.9270000000000000,45800,0.34497816593886500,3,0,15800,0
8400.0,6.684,43500,0.3103448275862070,3,0,13500,0
9400.0,7.119,47600,0.3697478991596640,3,0,17600,0
9300.0,7.072,47200,0.3644067796610170,3,0,17200,0
11700.0,8.104,56900,0.4727592267135330,6,1,26900,0
8300.0,6.653,43200,0.3055555555555560,2,0,13200,0
10600.0,7.626,52400,0.4274809160305340,5,1,22400,0
10400.0,7.551,51700,0.4197292069632500,4,1,21700,0
8500.0,6.755,44200,0.3212669683257920,3,0,14200,0
11100.0,7.829,54300,0.44751381215469600,5,1,24300,0
8800.0,6.856,45100,0.3348115299334810,3,0,15100,0
8500.0,6.728,43900,0.31662870159453300,3,0,13900,0
10000.0,7.386,50100,0.4011976047904190,4,1,20100,0
8200.0,6.605,42800,0.29906542056074800,2,0,12800,0
8400.0,6.689,43500,0.3103448275862070,3,0,13500,0
10100.0,7.419,50400,0.4047619047619050,4,1,20400,0
